date,description,category,amount
2026-05-01,RD deposit,Savings/Investment,2550
2026-05-01,Amazon Prime,Subscriptions,108
2026-05-01,Swiggy order,Food,217
2026-05-02,SIP - Mutual Fund,Savings/Investment,1181
2026-05-02,Wifi bill,Utilities,456
2026-05-04,Zomato order,Food,358
2026-05-05,Gaming purchase,Entertainment,424
2026-05-07,Wifi bill,Utilities,250
2026-05-07,Spotify Premium,Subscriptions,128
2026-05-08,Restaurant dinner,Food,584
2026-05-08,Metro recharge,Transport,85
2026-05-08,Swiggy order,Food,299
2026-05-09,Restaurant dinner,Food,548
2026-05-09,SIP - Mutual Fund,Savings/Investment,1025
2026-05-09,Auto fare,Transport,142
2026-05-09,RD deposit,Savings/Investment,790
2026-05-10,Google One storage,Subscriptions,166
2026-05-11,Campus canteen,Food,517
2026-05-12,Metro recharge,Transport,206
2026-05-15,Zomato order,Food,505
2026-05-15,Zomato order,Food,332
2026-05-15,RD deposit,Savings/Investment,1480
2026-05-15,SIP - Mutual Fund,Savings/Investment,1615
2026-05-16,SIP - Mutual Fund,Savings/Investment,2871
2026-05-18,Metro recharge,Transport,266
2026-05-20,Grocery - BigBasket,Food,152
2026-05-21,Electricity bill (hostel share),Utilities,434
2026-05-21,Metro recharge,Transport,142
2026-05-23,Netflix,Subscriptions,419
2026-05-27,Electricity bill (hostel share),Utilities,394
2026-05-27,Electricity bill (hostel share),Utilities,667
2026-05-29,Swiggy order,Food,446
2026-05-29,SIP - Mutual Fund,Savings/Investment,2587
2026-05-30,PG rent,Rent/Housing,4138
2026-06-01,Concert ticket,Entertainment,419
2026-06-01,Restaurant dinner,Food,329
2026-06-01,Hostel fee,Rent/Housing,4815
2026-06-02,SIP - Mutual Fund,Savings/Investment,969
2026-06-03,RD deposit,Savings/Investment,1668
2026-06-03,Metro recharge,Transport,264
2026-06-06,Restaurant dinner,Food,460
2026-06-06,Wifi bill,Utilities,501
2026-06-07,Swiggy order,Food,396
2026-06-08,Hostel fee,Rent/Housing,3626
2026-06-08,Wifi bill,Utilities,691
2026-06-09,Metro recharge,Transport,254
2026-06-10,Campus canteen,Food,302
2026-06-10,SIP - Mutual Fund,Savings/Investment,538
2026-06-14,SIP - Mutual Fund,Savings/Investment,2013
2026-06-16,Netflix,Subscriptions,122
2026-06-17,Metro recharge,Transport,66
2026-06-17,Concert ticket,Entertainment,693
2026-06-18,Amazon Prime,Subscriptions,369
2026-06-22,Swiggy order,Food,437
2026-06-22,Auto fare,Transport,235
2026-06-24,Wifi bill,Utilities,719
2026-06-25,Petrol,Transport,269
2026-06-27,Netflix,Subscriptions,487
2026-06-28,Amazon Prime,Subscriptions,139
2026-06-28,Electricity bill (hostel share),Utilities,316
2026-06-28,Wifi bill,Utilities,252
2026-06-30,Campus canteen,Food,513
2026-07-03,Swiggy order,Food,540
2026-07-05,Campus canteen,Food,209
2026-07-05,Zomato order,Food,135
2026-07-06,Auto fare,Transport,145
2026-07-07,PG rent,Rent/Housing,3867
2026-07-09,Campus canteen,Food,116
2026-07-09,Concert ticket,Entertainment,355
2026-07-09,Restaurant dinner,Food,395
2026-07-09,Grocery - BigBasket,Food,129
2026-07-10,Restaurant dinner,Food,553
2026-07-10,Restaurant dinner,Food,528
2026-07-14,Petrol,Transport,215
2026-07-16,Zomato order,Food,306
2026-07-16,Swiggy order,Food,314
2026-07-17,Zomato order,Food,466
2026-07-17,Swiggy order,Food,473
2026-07-17,Wifi bill,Utilities,400
2026-07-21,Grocery - BigBasket,Food,225
2026-07-22,Metro recharge,Transport,101
2026-07-23,Gaming purchase,Entertainment,375
2026-07-24,Grocery - BigBasket,Food,140
2026-07-24,Auto fare,Transport,165
2026-07-24,Movie tickets - PVR,Entertainment,344
2026-07-24,Google One storage,Subscriptions,232
2026-07-24,Zomato order,Food,235
2026-07-27,Ola cab,Transport,147
2026-07-27,Ola cab,Transport,227
2026-07-27,RD deposit,Savings/Investment,1893
